,SRC_ADD,DES_ADD,PKT_ID,FROM_NODE,TO_NODE,PKT_TYPE,PKT_SIZE,FLAGS,FID,SEQ_NUMBER,NUMBER_OF_PKT,NUMBER_OF_BYTE,NODE_NAME_FROM,NODE_NAME_TO,PKT_IN,PKT_OUT,PKT_R,PKT_DELAY_NODE,PKT_RATE,BYTE_RATE,PKT_AVG_SIZE,UTILIZATION,PKT_DELAY,PKT_SEND_TIME,PKT_RESEVED_TIME,FIRST_PKT_SENT,LAST_PKT_RESEVED,PKT_CLASS
1043,8.0,24.9,20340,23,24,tcp,2816,-------,0,-1,210,591360,router,server1,20.067185000000002,20.103885000000002,20.119128,0.0367,23.028518,64848.305671,2816.0,0.00564,0.119128,20.0,20.119128,0.0,9.119128,HTTP-FLOOD
1772,19.0,24.21,20351,23,24,tcp,55691,-------,0,-1,210,11695110,router,server1,20.077671,20.130059,20.145301999999997,0.052388,22.967447,1279080.068456,55691.0,0.111533,0.145302,20.0,20.145301999999997,0.0,9.143376,HTTP-FLOOD
1954,5.0,24.5,1031,5,21,tcp,899,-------,0,-1,210,188790,client-5,switch1,2.0,2.0,2.015243,0.0,23.108231,20774.299597999998,899.0,0.0018,0.087671,2.0,2.087671,0.0,9.087671,HTTP-FLOOD
2037,9.0,24.1,20341,21,23,tcp,6594,-------,0,-1,210,1384740,switch1,router,20.015242999999998,20.057185,20.072428,0.041942,23.00207,151675.65153099998,6594.0,0.013206,0.129613,20.0,20.129613,0.0,9.129613,HTTP-FLOOD
2258,10.0,24.11,47194,23,24,tcp,42330,-------,0,-1,210,8889300,router,server1,45.030485999999996,45.035728000000006,45.050971000000004,0.005242,23.201929999999997,982137.7176,42330.0,0.084775,0.050970999999999995,45.0,45.050971000000004,0.0,9.050971,HTTP-FLOOD
2598,16.0,24.18,46108,16,22,tcp,43862,-------,0,-1,210,9211020,client-16,switch2,44.0,44.0,44.015243,0.0,23.041764999999998,1010657.913722,43862.0,0.08784299999999999,0.11388499999999999,44.0,44.113884999999996,0.0,9.113885,HTTP-FLOOD
2744,19.0,24.21,26804,22,23,tcp,49324,-------,0,-1,210,10358040,switch2,router,26.015242999999998,26.062428,26.077671,0.047185000000000005,22.967447,1132846.3359700001,49324.0,0.09878200000000001,0.145262,26.0,26.145262,0.0,9.143376,HTTP-FLOOD
3152,7.0,24.7,71766,21,23,tcp,65405,-------,0,-1,210,13735050,switch1,router,68.015243,68.0467,68.061942,0.031457,23.055028,1507914.132535,65405.0,0.13098800000000002,0.108642,68.0,68.108642,0.0,9.108642,HTTP-FLOOD
3383,5.0,24.5,59969,5,21,tcp,4470,-------,0,-1,210,938700,client-5,switch1,57.0,57.0,57.015243000000005,0.0,23.108231,103293.792216,4470.0,0.008952,0.087671,57.0,57.08767099999999,0.0,9.087671,HTTP-FLOOD
4004,16.0,24.18,42936,16,22,tcp,19144,-------,0,-1,210,4020240,client-16,switch2,41.0,41.0,41.015243,0.0,23.041764999999998,441111.55670699995,19144.0,0.03834,0.11388499999999999,41.0,41.113884999999996,0.0,9.113885,HTTP-FLOOD
