,SRC_ADD,DES_ADD,PKT_ID,FROM_NODE,TO_NODE,PKT_TYPE,PKT_SIZE,FLAGS,FID,SEQ_NUMBER,NUMBER_OF_PKT,NUMBER_OF_BYTE,NODE_NAME_FROM,NODE_NAME_TO,PKT_IN,PKT_OUT,PKT_R,PKT_DELAY_NODE,PKT_RATE,BYTE_RATE,PKT_AVG_SIZE,UTILIZATION,PKT_DELAY,PKT_SEND_TIME,PKT_RESEVED_TIME,FIRST_PKT_SENT,LAST_PKT_RESEVED,PKT_CLASS
93,20.0,25.0,74641,20,21,tcp,55,-------,0,44,7085,389675,clienthttp,switch1,70.758269,70.758269,70.78890899999999,0.0,94.7212,5209.67,55.0,0.0037159999999999997,0.07378,70.758269,70.832049,1.201267,75.999728,SIDDOS
398,20.0,25.0,72150,20,21,tcp,55,-------,0,44,7085,389675,clienthttp,switch1,68.376365,68.376365,68.407005,0.0,94.7212,5209.67,55.0,0.0037159999999999997,0.071283,68.376365,68.447648,1.201267,75.999728,SIDDOS
447,20.0,25.0,73667,21,23,tcp,55,-------,0,44,7085,389675,switch1,router,69.821229,69.821229,69.831232,0.0,94.7212,5209.67,55.0,0.0037159999999999997,0.071283,69.790589,69.86187199999999,1.201267,75.999728,SIDDOS
946,24.7,7.0,572142,24,23,ack,55,-------,8,15916,16090,884950,server1,Router,49.512778999999995,49.512778999999995,49.522782,0.0,328.16776699999997,18049.2,55.0,0.008440000000000001,0.0,49.512778999999995,49.542789,1.030051,50.059851,SIDDOS
1019,24.5,5.0,533899,24,23,ack,55,-------,6,14960,16091,885005,server1,Router,46.580927,46.580927,46.59093,0.0,328.20485099999996,18051.3,55.0,0.008440000000000001,0.0,46.580927,46.610935999999995,1.030042,50.057349,SIDDOS
1678,20.0,25.0,70764,20,21,tcp,55,-------,0,44,7085,389675,clienthttp,switch1,67.103933,67.103933,67.134573,0.0,94.7212,5209.67,55.0,0.0037159999999999997,0.071745,67.103933,67.175678,1.201267,75.999728,SIDDOS
1756,20.0,25.0,79220,23,25,tcp,55,-------,0,44,7085,389675,router,webcache,75.923008,75.923008,75.953648,0.0,94.7212,5209.67,55.0,0.0037159999999999997,0.071283,75.88236500000001,75.953648,1.201267,75.999728,SIDDOS
1794,20.0,25.0,65250,21,23,tcp,55,-------,0,44,7085,389675,switch1,router,61.95946899999999,61.95946899999999,61.969471999999996,0.0,94.7212,5209.67,55.0,0.0037159999999999997,0.071283,61.928829,62.000112,1.201267,75.999728,SIDDOS
2511,4.0,24.4,261961,4,21,tcp,1540,-------,5,8115,16091,24780100,clien-4,Switch1,25.718989,25.718989,25.729112,0.0,328.217832,505455.0,1540.0,0.236321,0.0,25.718989,25.749357999999997,1.0,50.025368,SIDDOS
2840,20.0,25.0,67640,20,21,tcp,55,-------,0,44,7085,389675,clienthttp,switch1,64.16844499999999,64.16844499999999,64.199085,0.0,94.7212,5209.67,55.0,0.0037159999999999997,0.071283,64.16844499999999,64.239728,1.201267,75.999728,SIDDOS
3468,20.0,25.0,70575,20,21,tcp,55,-------,0,44,7085,389675,clienthttp,switch1,66.90118100000001,66.90118100000001,66.931821,0.0,94.7212,5209.67,55.0,0.0037159999999999997,0.071283,66.90118100000001,66.972464,1.201267,75.999728,SIDDOS
3868,20.0,25.0,70915,23,25,tcp,55,-------,0,44,7085,389675,router,webcache,67.253101,67.253101,67.283741,0.0,94.7212,5209.67,55.0,0.0037159999999999997,0.071283,67.212458,67.283741,1.201267,75.999728,SIDDOS
3945,20.0,25.0,66185,20,21,tcp,55,-------,0,44,7085,389675,clienthttp,switch1,62.785976,62.785976,62.816616,0.0,94.7212,5209.67,55.0,0.0037159999999999997,0.071283,62.785976,62.857259,1.201267,75.999728,SIDDOS
4106,20.0,25.0,76145,23,25,tcp,55,-------,0,44,7085,389675,router,webcache,72.25504000000001,72.25504000000001,72.28568,0.0,94.7212,5209.67,55.0,0.0037159999999999997,0.071283,72.21439699999999,72.28568,1.201267,75.999728,SIDDOS
4214,20.0,25.0,70248,21,23,tcp,55,-------,0,44,7085,389675,switch1,router,66.62769300000001,66.62769300000001,66.63769599999999,0.0,94.7212,5209.67,55.0,0.0037159999999999997,0.071283,66.597053,66.668336,1.201267,75.999728,SIDDOS
4247,20.0,25.0,57704,23,25,tcp,55,-------,0,44,7085,389675,router,webcache,54.892435,54.892435,54.923075,0.0,94.7212,5209.67,55.0,0.0037159999999999997,0.071284,54.851791000000006,54.923075,1.201267,75.999728,SIDDOS
4338,20.0,25.0,68529,21,23,tcp,55,-------,0,44,7085,389675,switch1,router,65.023981,65.062428,65.07243100000001,0.038447,94.7212,5209.67,55.0,0.0037159999999999997,0.10973,64.993341,65.103071,1.201267,75.999728,SIDDOS
4428,20.0,25.0,57942,23,25,tcp,55,-------,0,44,7085,389675,router,webcache,55.132051000000004,55.132051000000004,55.162691,0.0,94.7212,5209.67,55.0,0.0037159999999999997,0.071284,55.091407,55.162691,1.201267,75.999728,SIDDOS
4755,20.0,25.0,79210,23,25,tcp,55,-------,0,44,7085,389675,router,webcache,75.876928,75.876928,75.90756800000001,0.0,94.7212,5209.67,55.0,0.0037159999999999997,0.071283,75.836285,75.90756800000001,1.201267,75.999728,SIDDOS
5674,20.0,25.0,58244,23,25,tcp,55,-------,0,44,7085,389675,router,webcache,55.434943999999994,55.434943999999994,55.465584,0.0,94.7212,5209.67,55.0,0.0037159999999999997,0.071283,55.394301,55.465584,1.201267,75.999728,SIDDOS
5702,20.0,25.0,74869,21,23,tcp,55,-------,0,44,7085,389675,switch1,router,70.973229,70.973229,70.983232,0.0,94.7212,5209.67,55.0,0.0037159999999999997,0.071283,70.942589,71.01387199999999,1.201267,75.999728,SIDDOS
6140,20.0,25.0,63710,20,21,tcp,55,-------,0,44,7085,389675,clienthttp,switch1,60.477244999999996,60.477244999999996,60.507884999999995,0.0,94.7212,5209.67,55.0,0.0037159999999999997,0.071283,60.477244999999996,60.548528000000005,1.201267,75.999728,SIDDOS
6942,20.0,25.0,65701,21,23,tcp,55,-------,0,44,7085,389675,switch1,router,62.328168000000005,62.328168000000005,62.338170999999996,0.0,94.7212,5209.67,55.0,0.0037159999999999997,0.071283,62.297528,62.368811,1.201267,75.999728,SIDDOS
7500,20.0,25.0,58996,20,21,tcp,55,-------,0,44,7085,389675,clienthttp,switch1,56.076285,56.076285,56.106925,0.0,94.7212,5209.67,55.0,0.0037159999999999997,0.07148600000000001,56.076285,56.147771,1.201267,75.999728,SIDDOS
7506,20.0,25.0,60427,21,23,tcp,55,-------,0,44,7085,389675,switch1,router,57.43415699999999,57.43415699999999,57.44416,0.0,94.7212,5209.67,55.0,0.0037159999999999997,0.071283,57.403517,57.4748,1.201267,75.999728,SIDDOS
7866,20.0,25.0,61823,21,23,tcp,55,-------,0,44,7085,389675,switch1,router,58.784365,58.784365,58.794368000000006,0.0,94.7212,5209.67,55.0,0.0037159999999999997,0.071283,58.753725,58.825008,1.201267,75.999728,SIDDOS
8080,20.0,25.0,64681,21,23,tcp,55,-------,0,44,7085,389675,switch1,router,61.443373,61.443373,61.453376,0.0,94.7212,5209.67,55.0,0.0037159999999999997,0.071283,61.412732999999996,61.484016000000004,1.201267,75.999728,SIDDOS
9100,20.0,25.0,74875,20,21,tcp,55,-------,0,44,7085,389675,clienthttp,switch1,70.970237,70.970237,71.000877,0.0,94.7212,5209.67,55.0,0.0037159999999999997,0.071283,70.970237,71.04151999999999,1.201267,75.999728,SIDDOS
9341,20.0,25.0,77335,23,25,tcp,55,-------,0,44,7085,389675,router,webcache,73.38860799999999,73.38860799999999,73.419248,0.0,94.7212,5209.67,55.0,0.0037159999999999997,0.071283,73.347965,73.419248,1.201267,75.999728,SIDDOS
9636,20.0,25.0,61036,21,23,tcp,55,-------,0,44,7085,389675,switch1,router,58.042413,58.064416,58.07441899999999,0.022003,94.7212,5209.67,55.0,0.0037159999999999997,0.093923,58.011773,58.105695999999995,1.201267,75.999728,SIDDOS
10210,20.0,25.0,74300,23,25,tcp,55,-------,0,44,7085,389675,router,webcache,70.467136,70.467136,70.497776,0.0,94.7212,5209.67,55.0,0.0037159999999999997,0.071283,70.42649300000001,70.497776,1.201267,75.999728,SIDDOS
10385,4.0,24.4,491363,4,21,tcp,1540,-------,5,13896,16091,24780100,clien-4,Switch1,43.319320000000005,43.319320000000005,43.329443,0.0,328.217832,505455.0,1540.0,0.236321,0.0,43.319320000000005,43.34969,1.0,50.025368,SIDDOS
10477,20.0,25.0,63523,21,23,tcp,55,-------,0,44,7085,389675,switch1,router,60.323565,60.323565,60.33356800000001,0.0,94.7212,5209.67,55.0,0.0037159999999999997,0.071283,60.292925,60.364208,1.201267,75.999728,SIDDOS
10707,20.0,25.0,63874,20,21,tcp,55,-------,0,44,7085,389675,clienthttp,switch1,60.670781000000005,60.670781000000005,60.701420999999996,0.0,94.7212,5209.67,55.0,0.0037159999999999997,0.071283,60.670781000000005,60.742064,1.201267,75.999728,SIDDOS
10809,20.0,25.0,73108,23,25,tcp,55,-------,0,44,7085,389675,router,webcache,69.324352,69.324352,69.35499200000001,0.0,94.7212,5209.67,55.0,0.0037159999999999997,0.071283,69.283709,69.35499200000001,1.201267,75.999728,SIDDOS
11078,24.4,4.0,63246,23,21,ack,55,-------,5,1970,16091,885005,Router,Switch1,7.174533,7.174533,7.1845360000000005,0.0,328.218006,18052.0,55.0,0.008440000000000001,0.0,7.16453,7.194539,1.030035,50.055377,SIDDOS
11248,20.0,25.0,76574,23,25,tcp,55,-------,0,44,7085,389675,router,webcache,72.688192,72.688192,72.71883199999999,0.0,94.7212,5209.67,55.0,0.0037159999999999997,0.071283,72.647549,72.71883199999999,1.201267,75.999728,SIDDOS
11359,20.0,25.0,78245,21,23,tcp,55,-------,0,44,7085,389675,switch1,router,74.263341,74.263341,74.273344,0.0,94.7212,5209.67,55.0,0.0037159999999999997,0.071283,74.232701,74.303984,1.201267,75.999728,SIDDOS
11643,20.0,25.0,77754,23,25,tcp,55,-------,0,44,7085,389675,router,webcache,73.77568000000001,73.77568000000001,73.80632,0.0,94.7212,5209.67,55.0,0.0037159999999999997,0.071283,73.735037,73.80632,1.201267,75.999728,SIDDOS
11655,20.0,25.0,59915,21,23,tcp,55,-------,0,44,7085,389675,switch1,router,56.980523,56.980523,56.990526,0.0,94.7212,5209.67,55.0,0.0037159999999999997,0.071283,56.94988299999999,57.021166,1.201267,75.999728,SIDDOS
