,SRC_ADD,DES_ADD,PKT_ID,FROM_NODE,TO_NODE,PKT_TYPE,PKT_SIZE,FLAGS,FID,SEQ_NUMBER,NUMBER_OF_PKT,NUMBER_OF_BYTE,NODE_NAME_FROM,NODE_NAME_TO,PKT_IN,PKT_OUT,PKT_R,PKT_DELAY_NODE,PKT_RATE,BYTE_RATE,PKT_AVG_SIZE,UTILIZATION,PKT_DELAY,PKT_SEND_TIME,PKT_RESEVED_TIME,FIRST_PKT_SENT,LAST_PKT_RESEVED,PKT_CLASS
17,24.6,6.0,13859,23,21,ack,55,-------,7,423,16091,885005,Router,Switch1,2.524349,2.524349,2.534352,0.0,328.19309,18050.6,55.0,0.008440000000000001,0.0,2.5143459999999997,2.544355,1.0300479999999999,50.059112,Smurf
19,2.0,24.16,46094,2,21,ping,65535,-------,0,-1,210,13762400,client-2,switch1,44.0,44.0,44.015243,0.0,23.188498000000003,1519660.0,65535.2,0.131248,0.056214,44.0,44.056214000000004,0.0,9.056214,Smurf
210,10.0,24.11,4312,10,22,ping,65535,-------,0,-1,210,13762400,client-10,switch2,5.0,5.0,5.015243,0.0,23.201929999999997,1520540.0,65535.2,0.131248,0.050970999999999995,5.0,5.050971,0.0,9.050971,Smurf
265,24.6,6.0,10480,23,21,ack,55,-------,7,318,16091,885005,Router,Switch1,2.2065599999999996,2.2065599999999996,2.2165630000000003,0.0,328.19309,18050.6,55.0,0.008440000000000001,0.0,2.196557,2.226566,1.0300479999999999,50.059112,Smurf
287,1.0,24.1,11805,23,24,ping,65535,-------,0,-1,210,13762400,router,server1,12.030486,12.030486,12.045728,0.0,23.215379000000002,1521430.0,65535.2,0.131248,0.045728,12.0,12.045728,0.0,9.045728,Smurf
317,13.0,24.13,568459,13,22,tcp,1540,-------,14,15843,16103,24798600,clien-13,Switch2,49.230958,49.230958,49.241082,0.0,328.460131,505828.0,1540.0,0.236498,0.0,49.230958,49.261328000000006,1.0,50.025737,Smurf
610,17.1,24.37,428289,23,24,cbr,1000,-------,38,1685,6250,6250000,Router,server1,38.50072,38.501346000000005,38.511426,0.0006259999999999999,124.941427,124941.0,1000.0,0.059605,0.001186,38.48,38.511426,25.0,75.02344000000001,Smurf
1075,14.0,24.14,373280,22,23,tcp,1540,-------,15,10924,16103,24798600,Switch2,Router,34.270415,34.270415,34.280538,0.0,328.431807,505785.0,1540.0,0.236498,0.0009310000000000001,34.260292,34.291592,1.0,50.029965000000004,Smurf
1084,18.0,24.2,45122,22,23,ping,65535,-------,0,-1,210,13762400,switch2,router,43.015243,43.057185,43.072428,0.041942,22.988868,1506580.0,65535.2,0.131248,0.134856,43.0,43.134856,0.0,9.134856,Smurf
1342,17.0,24.19,4319,23,24,ping,65535,-------,0,-1,210,13762400,router,server1,5.067185,5.109128,5.12437,0.041943,23.015288,1508310.0,65535.2,0.131248,0.12437000000000001,5.0,5.12437,0.0,9.124369999999999,Smurf
1522,4.0,24.4,367139,4,21,tcp,1540,-------,5,10765,16091,24780100,clien-4,Switch1,33.790290999999996,33.790290999999996,33.800414,0.0,328.217832,505455.0,1540.0,0.236321,0.0,33.790290999999996,33.820661,1.0,50.025368,Smurf
1723,14.1,24.34,627632,14,22,cbr,1000,-------,35,5557,6250,6250000,clien-14,Switch2,69.456,69.456,69.46608,0.0,124.942626,124943.0,1000.0,0.059605,0.00072,69.456,69.48696,25.0,75.02296,Smurf
2119,5.0,24.5,25536,5,21,tcp,1540,-------,6,800,16091,24780100,clien-5,Switch1,3.61344,3.61344,3.623563,0.0,328.204637,505434.0,1540.0,0.236321,0.0,3.61344,3.6438099999999998,1.0,50.027339000000005,Smurf
2128,24.14,14.0,191240,23,22,ack,55,-------,15,5957,16103,885665,Router,Switch2,19.228566,19.228566,19.238570000000003,0.0,328.43200099999996,18063.8,55.0,0.008445999999999999,0.0,19.218563,19.248573,1.030038,50.059974,Smurf
2367,2.0,24.2,97840,2,21,tcp,1540,-------,3,3052,16091,24780100,clien-2,Switch1,10.425448,10.425448,10.435571000000001,0.0,328.26403999999997,505526.0,1540.0,0.236321,0.0,10.425448,10.455817999999999,1.0,50.018467,Smurf
2808,16.0,24.18,13938,22,23,ping,65535,-------,0,-1,210,13762400,switch2,router,14.015243,14.0467,14.061942000000002,0.031457,23.041764999999998,1510050.0,65535.2,0.131248,0.11388499999999999,14.0,14.113885,0.0,9.113885,Smurf
2876,18.0,24.2,48294,22,23,ping,65535,-------,0,-1,210,13762400,switch2,router,46.015243,46.057185,46.072428,0.041942,22.988868,1506580.0,65535.2,0.131248,0.134856,46.0,46.134856,0.0,9.134856,Smurf
3069,7.0,24.7,52552,7,21,ping,65535,-------,0,-1,210,13762400,client-7,switch1,50.0,50.0,50.015243,0.0,23.055028,1510920.0,65535.2,0.131248,0.108642,50.0,50.108641999999996,0.0,9.108642,Smurf
3083,8.0,24.9,5364,8,21,ping,65535,-------,0,-1,210,13762400,client-8,switch1,6.0,6.0,6.015243,0.0,23.028518,1509180.0,65535.2,0.131248,0.119128,6.0,6.119128,0.0,9.119128,Smurf
3137,24.13,13.0,351916,23,22,ack,55,-------,14,10371,16103,885665,Router,Switch2,32.630998,32.630998,32.641002,0.0,328.46027799999996,18065.3,55.0,0.008445999999999999,0.0,32.620995,32.651005,1.030032,50.055747,Smurf
3674,24.4,4.0,222234,24,23,ack,55,-------,5,6926,16091,885005,server1,Router,22.137632,22.137632,22.147635,0.0,328.218006,18052.0,55.0,0.008440000000000001,0.0,22.137632,22.167641,1.030035,50.055377,Smurf
3829,24.9,9.0,265837,24,23,ack,55,-------,10,8197,16085,884675,server1,Router,26.01612,26.01612,26.026123000000002,0.0,328.064183,18043.5,55.0,0.008437,0.0,26.01612,26.046129999999998,1.030058,50.060097999999996,Smurf
4014,24.12,12.0,575175,22,12,ack,55,-------,13,16003,16103,885665,Switch2,clien-12,49.764904,49.764904,49.774907,0.0,328.491596,18067.0,55.0,0.008445999999999999,0.0,49.744898,49.774907,1.030026,50.051066999999996,Smurf
4067,24.12,12.0,450642,22,12,ack,55,-------,13,12870,16103,885665,Switch2,clien-12,40.214143,40.214143,40.224146000000005,0.0,328.491596,18067.0,55.0,0.008445999999999999,0.0,40.194136,40.224146000000005,1.030026,50.051066999999996,Smurf
4479,11.0,24.12,70681,22,23,ping,65535,-------,0,-1,210,13762400,switch2,router,67.015243,67.020486,67.035728,0.005243,23.175081,1518780.0,65535.2,0.131248,0.061457000000000005,67.0,67.06145699999999,0.0,9.061457,Smurf
4509,7.0,24.7,31122,21,23,ping,65535,-------,0,-1,210,13762400,switch1,router,30.015242999999998,30.0467,30.061942,0.031457,23.055028,1510920.0,65535.2,0.131248,0.108642,30.0,30.108642,0.0,9.108642,Smurf
4591,24.4,4.0,275105,24,23,ack,55,-------,5,8441,16091,885005,server1,Router,26.728071999999997,26.728071999999997,26.738075,0.0,328.218006,18052.0,55.0,0.008440000000000001,0.0,26.728071999999997,26.758082,1.030035,50.055377,Smurf
4792,2.1,24.22,283328,23,24,cbr,1000,-------,23,295,6250,6250000,Router,server1,27.380389,27.380671999999997,27.390752000000003,0.000283,124.943625,124944.0,1000.0,0.059605,0.000512,27.36,27.390752000000003,25.0,75.02256,Smurf
4965,6.1,24.26,626599,23,24,cbr,1000,-------,27,5506,6250,6250000,Router,server1,69.06864,69.06912,69.0792,0.00047999999999999996,124.942027,124942.0,1000.0,0.059605,0.0009599999999999999,69.048,69.0792,25.0,75.0232,Smurf
5152,1.0,24.1,73740,1,21,tcp,1540,-------,2,2308,16091,24780100,clien-1,Switch1,8.156171,8.156171,8.166294,0.0,328.29785499999997,505578.0,1540.0,0.236321,0.0,8.156171,8.186541,1.0,50.013418,Smurf
5153,10.0,24.11,71769,10,22,ping,65535,-------,0,-1,210,13762400,client-10,switch2,68.0,68.0,68.015243,0.0,23.201929999999997,1520540.0,65535.2,0.131248,0.050970999999999995,68.0,68.05097099999999,0.0,9.050971,Smurf
5214,0.0,24.0,65721,0,21,tcp,1540,-------,1,2053,16091,24780100,clien-0,Switch1,7.400328,7.400328,7.410450999999999,0.0,328.316229,505606.0,1540.0,0.236321,0.0,7.400328,7.430698,1.0,50.010675,Smurf
5304,6.0,24.6,42417,6,21,tcp,1540,-------,7,1326,16091,24780100,clien-6,Switch1,5.202395,5.202395,5.212518,0.0,328.192835,505416.0,1540.0,0.236321,0.0,5.202395,5.2327650000000006,1.0,50.029102,Smurf
5455,18.0,24.2,11822,22,23,ping,65535,-------,0,-1,210,13762400,switch2,router,12.015243,12.057185,12.072428,0.041942,22.988868,1506580.0,65535.2,0.131248,0.134856,12.0,12.134856,0.0,9.134856,Smurf
5473,12.0,24.12,410185,23,24,tcp,1540,-------,13,11862,16103,24798600,Router,server1,37.110944,37.110944,37.121067,0.0,328.491489,505876.0,1540.0,0.236498,0.0,37.090697999999996,37.121067,1.0,50.021057,Smurf
5748,25.0,20.0,73369,25,23,tcp,576,-------,0,892977,7110,4092144,webcache,router,69.484016,69.508575,69.547791,0.024559,95.145988,54761.052361,575.547679,0.039026,0.11303699999999998,69.484016,69.597053,1.27255,75.999821,Smurf
5759,16.0,24.18,28985,23,24,ping,65535,-------,0,-1,210,13762400,router,server1,28.061942,28.098641999999998,28.113884999999996,0.0367,23.041764999999998,1510050.0,65535.2,0.131248,0.11388499999999999,28.0,28.113884999999996,0.0,9.113885,Smurf
6001,7.0,24.7,332293,7,21,tcp,1540,-------,8,9884,16090,24778600,clien-7,Switch1,31.113858,31.113858,31.123981,0.0,328.167486,505378.0,1540.0,0.23630700000000002,0.0017230000000000001,31.113858,31.14595,1.0,50.029841999999995,Smurf
6234,9.0,24.1,62111,9,21,ping,65535,-------,0,-1,210,13762400,client-9,switch1,59.0,59.0,59.015243000000005,0.0,23.00207,1507450.0,65535.2,0.131248,0.129613,59.0,59.129613,0.0,9.129613,Smurf
6328,3.0,24.3,65268,21,23,ping,65535,-------,0,-1,210,13762400,switch1,router,62.015243000000005,62.025728,62.040971,0.010485,23.16168,1517910.0,65535.2,0.131248,0.0667,62.0,62.0667,0.0,9.0667,Smurf
6426,15.0,24.17,55798,22,23,ping,65535,-------,0,-1,210,13762400,switch2,router,53.015243000000005,53.041456999999994,53.0567,0.026213999999999998,23.068307,1511790.0,65535.2,0.131248,0.103399,53.0,53.103398999999996,0.0,9.103399000000001,Smurf
6457,8.0,24.9,8,23,24,ping,65535,-------,0,-1,210,13762400,router,server1,0.06718500000000001,0.10388499999999999,0.119128,0.0367,23.028518,1509180.0,65535.2,0.131248,0.119128,0.0,0.119128,0.0,9.119128,Smurf
6883,26.0,25.1,15135,26,25,tcp,576,-------,1,791673,5628,3241120,webserverlistin,webcache,15.092367999999999,15.206832,15.246048000000002,0.11446400000000001,658.0904429999999,378989.000956,575.891969,0.030910000000000003,0.15367999999999998,15.092367999999999,15.246048000000002,1.447776,9.999792,Smurf
6982,24.11,11.0,376792,23,22,ack,55,-------,12,11007,16103,885665,Router,Switch2,34.539660999999995,34.539660999999995,34.549664,0.0,328.52294700000004,18068.8,55.0,0.008445999999999999,0.0,34.529658000000005,34.559667,1.030019,50.046382,Smurf
7106,10.1,24.3,406391,10,22,cbr,1000,-------,31,1475,6250,6250000,clien-10,Switch2,36.8,36.8,36.81008,0.0,124.944225,124944.0,1000.0,0.059605,0.00011200000000000001,36.8,36.830352000000005,25.0,75.02232,Smurf
7491,4.0,24.4,421927,23,24,tcp,1540,-------,5,12147,16091,24780100,Router,server1,38.013373,38.014501,38.024623999999996,0.0011279999999999999,328.217832,505455.0,1540.0,0.236321,0.0016,37.992655,38.024623999999996,1.0,50.025368,Smurf
7914,11.0,24.12,36483,23,24,ping,65535,-------,0,-1,210,13762400,router,server1,35.035728000000006,35.046214,35.061457,0.010486,23.175081,1518780.0,65535.2,0.131248,0.061457000000000005,35.0,35.061457,0.0,9.061457,Smurf
8045,17.1,24.37,630216,23,24,cbr,1000,-------,38,5685,6250,6250000,Router,server1,70.50072,70.50135999999999,70.51144000000001,0.00064,124.941427,124941.0,1000.0,0.059605,0.0012,70.48,70.51144000000001,25.0,75.02344000000001,Smurf
8504,10.0,24.1,413100,10,22,tcp,1540,-------,11,11933,16103,24798600,clien-10,Switch2,37.314584,37.314584,37.324707000000004,0.0,328.561898,505985.0,1540.0,0.236498,0.000124,37.314584,37.345077,1.0,50.010552000000004,Smurf
8536,8.0,24.8,79430,8,21,tcp,1540,-------,9,2472,16088,24775500,clien-8,Switch1,8.691699,8.691699,8.701822,0.0,328.11323,505294.0,1540.0,0.23627800000000002,0.0,8.691699,8.722069,1.0,50.031853999999996,Smurf
8653,5.1,24.25,584352,21,23,cbr,1000,-------,26,3408,6250,6250000,Switch1,Router,52.27408,52.27448,52.28456,0.0004,124.942427,124942.0,1000.0,0.059605,0.0008,52.263999999999996,52.29504,25.0,75.02304000000001,Smurf
8685,4.1,24.24,285733,23,24,cbr,1000,-------,25,318,6250,6250000,Router,server1,27.564518,27.564962,27.575042,0.00044400000000000006,124.942826,124943.0,1000.0,0.059605,0.000802,27.544,27.575042,25.0,75.02288,Smurf
8856,24.12,12.0,373247,23,22,ack,55,-------,13,10912,16103,885665,Router,Switch2,34.267249,34.267249,34.277252000000004,0.0,328.491596,18067.0,55.0,0.008445999999999999,0.0,34.257245000000005,34.287255,1.030026,50.051066999999996,Smurf
8867,5.0,24.5,53642,21,23,ping,65535,-------,0,-1,210,13762400,switch1,router,51.015243,51.036214,51.051457,0.020971,23.108231,1514400.0,65535.2,0.131248,0.087671,51.0,51.087671,0.0,9.087671,Smurf
8915,3.0,24.3,72783,3,21,ping,65535,-------,0,-1,210,13762400,client-3,switch1,69.0,69.0,69.015243,0.0,23.16168,1517910.0,65535.2,0.131248,0.0667,69.0,69.0667,0.0,9.0667,Smurf
9008,17.0,24.19,71776,23,24,ping,65535,-------,0,-1,210,13762400,router,server1,68.067185,68.109128,68.12437,0.041943,23.015288,1508310.0,65535.2,0.131248,0.12437000000000001,68.0,68.12437,0.0,9.124369999999999,Smurf
9275,18.0,24.2,63209,22,23,ping,65535,-------,0,-1,210,13762400,switch2,router,60.015243000000005,60.057185,60.072428,0.041942,22.988868,1506580.0,65535.2,0.131248,0.134856,60.0,60.134856000000006,0.0,9.134856,Smurf
9776,15.0,24.15,21812,22,23,tcp,1540,-------,16,687,16092,24781700,Switch2,Router,3.275086,3.275086,3.2852099999999997,0.0,328.205808,505437.0,1540.0,0.236337,0.0,3.2649630000000003,3.2953330000000003,1.0,50.030211,Smurf
9822,24.6,6.0,50252,23,21,ack,55,-------,7,1554,16091,885005,Router,Switch1,5.949701,5.949701,5.959704,0.0,328.19309,18050.6,55.0,0.008440000000000001,0.0,5.939698,5.969707,1.0300479999999999,50.059112,Smurf
10060,24.3,3.0,336905,21,3,ack,55,-------,4,9999,16091,885005,Switch1,clien-3,31.488909000000003,31.488909000000003,31.498912,0.0,328.24105099999997,18053.3,55.0,0.008440000000000001,0.0,31.468902000000003,31.498912,1.030029,50.051929,Smurf
10062,24.16,2.0,71837,21,2,tcp,64,-------,0,-1,210,13440,switch1,client-2,68.076224,68.076224,68.086229,0.0,23.255775,1488.369621,64.0,0.000128,0.030014999999999997,68.056214,68.086229,0.056214,9.086229,Smurf
10345,24.3,3.0,107831,24,23,ack,55,-------,4,3351,16091,885005,server1,Router,11.364339,11.364339,11.374342,0.0,328.24105099999997,18053.3,55.0,0.008440000000000001,0.0,11.364339,11.394349,1.030029,50.051929,Smurf
10386,8.0,24.9,47192,8,21,ping,65535,-------,0,-1,210,13762400,client-8,switch1,45.0,45.0,45.015243,0.0,23.028518,1509180.0,65535.2,0.131248,0.119128,45.0,45.119128,0.0,9.119128,Smurf
10433,24.15,15.0,42026,22,15,ack,55,-------,16,1309,16092,885060,Switch2,clien-15,5.18771,5.18771,5.1977139999999995,0.0,328.20604199999997,18051.3,55.0,0.008440999999999999,0.0,5.1677040000000005,5.1977139999999995,1.030045,50.060221000000006,Smurf
10786,12.0,24.13,18264,23,24,ping,65535,-------,0,-1,210,13762400,router,server1,18.040971,18.0567,18.071942,0.015729,23.148296,1517030.0,65535.2,0.131248,0.07194199999999999,18.0,18.071942,0.0,9.071942,Smurf
11047,24.6,6.0,376777,21,6,ack,55,-------,7,10998,16091,885005,Switch1,clien-6,34.548309,34.548309,34.558312,0.0,328.19309,18050.6,55.0,0.008440000000000001,0.0,34.528302000000004,34.558312,1.0300479999999999,50.059112,Smurf
